"vg_dBN_dL","Normals:0","Normals:1","Normals:2","vg_J_magnitude","conn_component","RegionId","Points:0","Points:1","Points:2"
2.2792e-07,0.86957,-0.47245,-0.14318,1.4228e-08,162,26,8.6461,-7.1426,-1.372
2.3209e-07,0.87223,-0.46757,-0.14252,1.4425e-08,162,26,8.6598,-7.123,-1.3447
2.0868e-07,0.87954,-0.45472,-0.13952,1.4701e-08,162,26,8.6933,-7.0735,-1.2831
2.7307e-07,0.8751,-0.46045,-0.14843,1.5234e-08,162,26,8.7252,-7.0262,-1.2324
2.8311e-07,0.86703,-0.4737,-0.15435,1.5396e-08,162,26,8.7298,-7.0192,-1.2243
2.9048e-07,0.86156,-0.48291,-0.15644,1.5324e-08,162,26,8.7352,-7.0122,-1.219
2.9805e-07,0.86074,-0.4845,-0.1554,1.507e-08,162,26,8.7503,-6.99,-1.2087
2.9399e-07,0.87459,-0.46169,-0.14406,1.4828e-08,162,26,8.784,-6.9315,-1.1865
2.9553e-07,0.88914,-0.43798,-0.13225,1.4501e-08,162,26,8.8193,-6.8688,-1.1722
3.0297e-07,0.89099,-0.43495,-0.13013,1.4527e-08,162,26,8.827,-6.8546,-1.1646
3.1548e-07,0.88832,-0.43972,-0.13188,1.4655e-08,162,26,8.8342,-6.841,-1.1619
4.3121e-07,0.87771,-0.45783,-0.14123,1.562e-08,162,26,8.8886,-6.7412,-1.1133
4.3919e-07,0.87009,-0.4713,-0.14378,1.5541e-08,162,26,8.8951,-6.7313,-1.1092
4.4967e-07,0.87259,-0.4668,-0.14284,1.5288e-08,162,26,8.9148,-6.697,-1.1076
4.3782e-07,0.88786,-0.44074,-0.13066,1.4893e-08,162,26,8.9516,-6.6283,-1.0972
4.4322e-07,0.89995,-0.42009,-0.11656,1.4924e-08,162,26,8.9964,-6.5394,-1.0669
4.9424e-07,0.88449,-0.44813,-0.1295,1.5739e-08,162,26,9.0417,-6.4499,-1.0417
4.9994e-07,0.88355,-0.44975,-0.13058,1.5842e-08,162,26,9.0473,-6.4385,-1.0383
5.0006e-07,0.88239,-0.45181,-0.13113,1.5837e-08,162,26,9.0477,-6.4379,-1.0382
5.0202e-07,0.8838,-0.44937,-0.13018,1.5363e-08,162,26,9.08,-6.3818,-1.0312
5.007e-07,0.88445,-0.4482,-0.12972,1.5342e-08,162,26,9.0815,-6.3787,-1.0314
4.9219e-07,0.88694,-0.44352,-0.12762,1.531e-08,162,26,9.0883,-6.3645,-1.0283
4.1434e-07,0.90878,-0.40235,-0.11019,1.4974e-08,162,26,9.1471,-6.2392,-1.0133
4.1521e-07,0.91026,-0.39963,-0.10815,1.501e-08,162,26,9.1543,-6.2243,-1.0051
4.1306e-07,0.90739,-0.40533,-0.11012,1.5123e-08,162,26,9.1604,-6.2113,-1.0033
4.2934e-07,0.89457,-0.42973,-0.12247,1.5948e-08,162,26,9.206,-6.1102,-0.98904
4.2363e-07,0.88596,-0.44625,-0.12566,1.5741e-08,162,26,9.2196,-6.085,-0.98996
4.1102e-07,0.88669,-0.44484,-0.12532,1.5591e-08,162,26,9.2291,-6.0667,-0.99097
3.2258e-07,0.9097,-0.40036,-0.10941,1.4903e-08,162,26,9.2894,-5.9326,-1.0047
3.1309e-07,0.91267,-0.39455,-0.10636,1.4875e-08,162,26,9.3004,-5.9091,-0.9956
3.2211e-07,0.91169,-0.39719,-0.10474,1.5605e-08,162,26,9.3471,-5.8013,-0.97834
3.1936e-07,0.90534,-0.40987,-0.11013,1.5881e-08,162,26,9.3634,-5.7657,-0.97092
3.194e-07,0.89349,-0.4334,-0.11747,1.5926e-08,162,26,9.3647,-5.7627,-0.97036
3.1364e-07,0.89079,-0.43864,-0.1185,1.5833e-08,162,26,9.3705,-5.7515,-0.97261
2.9256e-07,0.903,-0.41371,-0.11538,1.4709e-08,162,26,9.436,-5.6076,-1.0146
2.8633e-07,0.90515,-0.4094,-0.11421,1.4637e-08,162,26,9.4419,-5.594,-1.0177
2.5168e-07,0.91626,-0.38636,-0.10551,1.5091e-08,162,26,9.4936,-5.4744,-0.9901
2.6674e-07,0.9111,-0.39686,-0.10977,1.5386e-08,162,26,9.5118,-5.4364,-0.97025
2.6674e-07,0.90866,-0.40105,-0.11335,1.5387e-08,162,26,9.5118,-5.4364,-0.97024
2.7149e-07,0.89752,-0.42345,-0.12291,1.557e-08,162,26,9.5235,-5.4108,-0.96589
2.6435e-07,0.89986,-0.41841,-0.12291,1.4907e-08,162,26,9.5625,-5.3296,-0.97736
