x,y,z
60257264,38548000.0,6013866.0
59864820,39372496.0,5774000.0
59855000,39393480.0,5764930.0
59852968,39395672.0,5774000.0
59751048,39548000.0,6016726.5
59605408,39948956.0,5774000.0
59369696,40548000.0,5512512.5
59087560,41255548.0,5066451.5
58968564,41548000.0,4895118.0
58931500,41652660.0,4774000.0
58855000,41841496.0,4619902.0
58677672,42261724.0,4774000.0
58554820,42548000.0,4894885.5
58491688,42730828.0,4774000.0
58202240,43548000.0,4265970.5
57928188,44194304.0,4006898.5
57855000,44365248.0,3940798.5
57827700,44423936.0,3986139.8
57764188,44548000.0,4161253.0
57556904,45113100.0,3774000.0
57393204,45548000.0,3485874.8
57171776,46024716.0,3297285.5
56915464,46548000.0,3165951.2
56859168,46662092.0,3040490.5
56855000,46671288.0,3024686.0
56749220,46880724.0,2983820.2
56397636,47548000.0,3046707.2
56205628,47870548.0,2774000.0
55855000,48449996.0,2331595.2
55797288,48530568.0,2409967.0
55785372,48548000.0,2417208.5
55262180,49374596.0,1947404.9
55151192,49548000.0,1860914.2
55075040,49653332.0,1774000.0
54855000,49949816.0,1568395.9
54471216,50449884.0,1594705.8
54393928,50548000.0,1615315.9
54231008,50752872.0,1480289.6
53855000,51227496.0,1176952.9
53681336,51433640.0,1395899.4
53583608,51548000.0,1529665.4
53363564,51823352.0,1479600.8
52855000,52460212.0,1396780.1
52792024,52528796.0,1774000.0
52773888,52548000.0,1884008.0
52688460,52672424.0,1774000.0
52457216,53017140.0,1304859.4
52158664,53458284.0,774000.0
52098148,53548000.0,640039.0
52066700,53588688.0,656313.75
51940764,53750652.0,774000.0
51872060,53837488.0,856109.12
51855000,53858156.0,897811.19
51440288,54519612.0,1774000.0
51422324,54548000.0,1815936.5
51391416,54606344.0,1774000.0
51316484,54750604.0,1571394.4
50947136,55453384.0,774000.0
50898892,55548000.0,587404.94
50893460,55554212.0,722273.75
50892468,55554356.0,774000.0
50869708,55569084.0,1521274.9
50869752,55558180.0,1774000.0
50866772,55548000.0,1980759.1
51132688,55035628.0,2537144.0
51081716,55114228.0,2774000.0
51020664,55204344.0,3099743.5
50993992,55210380.0,3774000.0
50978860,55214408.0,4042875.2
51046652,55026828.0,4774000.0
51043728,54982476.0,5244127.5
51086724,54848712.0,5774000.0
51061612,54808620.0,6407595.5
51094040,54700904.0,6774000.0
51043864,54670792.0,7559606.0
51051892,54624004.0,7774000.0
50972500,54597104.0,8657064.0
50973128,54573516.0,8774000.0
50919796,54548000.0,9343201.0
50899736,54494120.0,9774000.0
50894620,54489524.0,9832477.0
50860516,54548000.0,9822849.0
50855000,54549344.0,9853135.0
50777020,54627584.0,9851519.0
50775416,54627584.0,9856781.0
50347260,54937428.0,10410323.0
50238592,54956724.0,10774000.0
50047224,55069256.0,11105461.0
49994076,54968548.0,11774000.0
49921336,54970168.0,12010885.0
49903060,54763592.0,12774000.0
49855000,54764368.0,12924816.0
49846800,54725132.0,13093387.0
49493460,55190280.0,13131722.0
